Date,Status,Quantity
19/11/2022 20:11:36,Out of stock,0
19/11/2022 20:29:28,Out of stock,0
19/11/2022 20:48:50,Out of stock,0
19/11/2022 21:25:52,Out of stock,0
19/11/2022 21:35:23,Out of stock,0
19/11/2022 21:48:45,Out of stock,0
19/11/2022 22:11:00,Out of stock,0
19/11/2022 22:29:20,Out of stock,0
19/11/2022 22:40:28,Out of stock,0
19/11/2022 22:48:28,Out of stock,0
19/11/2022 23:11:08,Out of stock,0
19/11/2022 23:28:54,Out of stock,0
19/11/2022 23:39:56,Out of stock,0
19/11/2022 23:48:42,Out of stock,0
20/11/2022 01:05:31,Out of stock,0
20/11/2022 04:16:32,Out of stock,0
20/11/2022 04:45:12,Out of stock,0
20/11/2022 04:55:09,Out of stock,0
20/11/2022 06:14:03,Out of stock,0
20/11/2022 06:35:43,Out of stock,0
20/11/2022 07:10:25,Out of stock,0
20/11/2022 07:26:09,Out of stock,0
20/11/2022 07:34:44,Out of stock,0
20/11/2022 08:14:17,Out of stock,0
20/11/2022 08:34:59,Out of stock,0
20/11/2022 09:11:06,Out of stock,0
20/11/2022 09:27:55,Out of stock,0
20/11/2022 09:38:23,Out of stock,0
20/11/2022 09:48:45,Out of stock,0
20/11/2022 10:12:01,Out of stock,0
20/11/2022 11:09:29,Out of stock,0
20/11/2022 12:19:49,Out of stock,0
20/11/2022 12:58:50,Out of stock,0
20/11/2022 13:27:30,Out of stock,0
20/11/2022 13:42:12,Out of stock,0
20/11/2022 14:36:36,Out of stock,0
20/11/2022 15:11:10,Out of stock,0
20/11/2022 15:29:51,Out of stock,0
20/11/2022 15:49:44,Out of stock,0
20/11/2022 16:14:44,Out of stock,0
20/11/2022 16:57:51,Out of stock,0
20/11/2022 17:48:31,Out of stock,0
20/11/2022 18:13:18,Out of stock,0
20/11/2022 18:34:07,Out of stock,0
20/11/2022 19:09:05,Out of stock,0
20/11/2022 19:22:42,Out of stock,0
20/11/2022 19:48:43,Out of stock,0
20/11/2022 20:11:28,Out of stock,0
20/11/2022 20:29:40,Out of stock,0
20/11/2022 20:40:43,Out of stock,0
20/11/2022 21:25:53,Out of stock,0
20/11/2022 21:35:17,Out of stock,0
20/11/2022 21:48:25,Out of stock,0
20/11/2022 22:10:36,Out of stock,0
20/11/2022 22:28:38,Out of stock,0
20/11/2022 22:48:27,Out of stock,0
20/11/2022 23:12:07,Out of stock,0
20/11/2022 23:30:43,Out of stock,0
20/11/2022 23:50:45,Out of stock,0
21/11/2022 01:02:41,Out of stock,0
21/11/2022 02:58:02,Out of stock,0
21/11/2022 03:48:35,Out of stock,0
21/11/2022 04:20:07,Out of stock,0
21/11/2022 04:47:17,Out of stock,0
21/11/2022 05:11:19,Out of stock,0
21/11/2022 05:28:28,Out of stock,0
21/11/2022 05:39:16,Out of stock,0
21/11/2022 05:48:30,Out of stock,0
21/11/2022 06:45:10,Out of stock,0
21/11/2022 07:11:34,Out of stock,0
21/11/2022 07:37:00,Out of stock,0
21/11/2022 07:48:31,Out of stock,0
21/11/2022 08:15:50,Out of stock,0
21/11/2022 08:43:21,Out of stock,0
21/11/2022 08:53:29,Out of stock,0
21/11/2022 09:42:32,Out of stock,0
21/11/2022 09:50:30,Out of stock,0
21/11/2022 11:10:03,Out of stock,0
21/11/2022 11:25:49,Out of stock,0
21/11/2022 11:34:55,Out of stock,0
21/11/2022 12:23:01,Out of stock,0
21/11/2022 13:08:57,Out of stock,0
21/11/2022 14:10:22,,1
21/11/2022 14:39:16,Out of stock,0
21/11/2022 14:48:38,Out of stock,0
21/11/2022 15:13:05,Out of stock,0
21/11/2022 15:50:08,Out of stock,0
21/11/2022 16:15:57,Out of stock,0
21/11/2022 17:13:40,Out of stock,0
21/11/2022 17:32:29,Out of stock,0
21/11/2022 19:34:53,Out of stock,0
21/11/2022 20:29:17,Out of stock,0
21/11/2022 20:40:23,Out of stock,0
21/11/2022 21:29:05,Out of stock,0
21/11/2022 21:40:30,Out of stock,0
21/11/2022 21:48:28,Out of stock,0
21/11/2022 22:30:11,Out of stock,0
21/11/2022 22:42:50,Out of stock,0
21/11/2022 22:50:43,Out of stock,0
22/11/2022 01:03:26,Out of stock,0
22/11/2022 03:36:37,Out of stock,0
22/11/2022 03:58:38,Out of stock,0
22/11/2022 04:23:15,Out of stock,0
22/11/2022 04:44:17,Out of stock,0
22/11/2022 05:11:30,Out of stock,0
22/11/2022 05:39:32,Out of stock,0
22/11/2022 05:48:36,Out of stock,0
22/11/2022 06:15:03,Out of stock,0
22/11/2022 07:28:07,Out of stock,0
22/11/2022 07:37:36,Out of stock,0
22/11/2022 08:16:16,Out of stock,0
22/11/2022 09:29:55,Out of stock,0
22/11/2022 09:42:13,Out of stock,0
22/11/2022 09:50:11,Out of stock,0
22/11/2022 10:50:07,Out of stock,0
22/11/2022 11:25:45,Out of stock,0
22/11/2022 11:34:56,Out of stock,0
22/11/2022 13:04:24,Out of stock,0
22/11/2022 13:40:08,Out of stock,0
22/11/2022 13:50:58,Out of stock,0
22/11/2022 14:11:03,Out of stock,0
22/11/2022 14:28:31,Out of stock,0
22/11/2022 14:40:01,Out of stock,0
22/11/2022 15:12:36,Out of stock,0
22/11/2022 16:16:08,Out of stock,0
22/11/2022 16:51:54,Out of stock,0
22/11/2022 17:13:11,Out of stock,0
22/11/2022 17:31:44,Out of stock,0
22/11/2022 19:09:38,Out of stock,0
22/11/2022 19:34:47,Out of stock,0
22/11/2022 19:48:44,Out of stock,0
22/11/2022 20:11:39,Out of stock,0
22/11/2022 20:48:35,Out of stock,0
22/11/2022 21:09:59,Out of stock,0
22/11/2022 21:25:20,Out of stock,0
22/11/2022 22:11:03,Out of stock,0
22/11/2022 22:30:42,Out of stock,0
22/11/2022 23:28:00,Out of stock,0
23/11/2022 02:37:38,Out of stock,0
23/11/2022 03:23:21,Out of stock,0
23/11/2022 04:14:01,Out of stock,0
23/11/2022 04:35:16,Out of stock,0
23/11/2022 05:36:03,Out of stock,0
23/11/2022 05:48:43,Out of stock,0
23/11/2022 07:10:24,Out of stock,0
23/11/2022 07:48:31,Out of stock,0
23/11/2022 08:14:31,Out of stock,0
23/11/2022 09:11:02,Out of stock,0
23/11/2022 09:52:42,Out of stock,0
23/11/2022 10:12:23,Out of stock,0
23/11/2022 10:31:31,Out of stock,0
23/11/2022 11:24:12,Out of stock,0
23/11/2022 11:34:36,Out of stock,0
23/11/2022 13:02:37,Out of stock,0
23/11/2022 14:26:49,Out of stock,0
23/11/2022 14:37:05,Out of stock,0
23/11/2022 15:30:57,Out of stock,0
23/11/2022 16:42:35,Out of stock,0
23/11/2022 17:25:52,Out of stock,0
23/11/2022 18:13:12,Out of stock,0
23/11/2022 18:33:24,Out of stock,0
23/11/2022 19:09:20,Out of stock,0
23/11/2022 19:22:12,Out of stock,0
23/11/2022 19:34:28,Out of stock,0
23/11/2022 19:48:33,Out of stock,0
23/11/2022 21:24:48,Out of stock,0
23/11/2022 21:34:19,Out of stock,0
23/11/2022 21:48:33,Out of stock,0
23/11/2022 22:37:59,Out of stock,0
23/11/2022 22:48:46,Out of stock,0
23/11/2022 23:11:06,Out of stock,0
24/11/2022 02:37:35,Out of stock,0
24/11/2022 03:38:39,Out of stock,0
24/11/2022 03:50:56,Out of stock,0
24/11/2022 04:50:19,Out of stock,0
24/11/2022 05:10:36,Out of stock,0
24/11/2022 05:35:45,Out of stock,0
24/11/2022 05:48:35,Out of stock,0
24/11/2022 06:13:49,Out of stock,0
24/11/2022 07:25:38,Out of stock,0
24/11/2022 07:34:03,Out of stock,0
24/11/2022 08:34:37,Out of stock,0
24/11/2022 09:11:11,Out of stock,0
24/11/2022 09:27:20,Out of stock,0
24/11/2022 10:30:54,Out of stock,0
24/11/2022 11:48:54,Out of stock,0
24/11/2022 12:22:20,Out of stock,0
24/11/2022 13:01:41,Out of stock,0
24/11/2022 14:35:46,Out of stock,0
24/11/2022 14:48:41,Out of stock,0
24/11/2022 15:11:17,Out of stock,0
24/11/2022 16:55:44,Out of stock,0
24/11/2022 17:26:56,Out of stock,0
24/11/2022 18:14:36,Out of stock,0
24/11/2022 18:34:27,Out of stock,0
24/11/2022 19:09:21,Out of stock,0
24/11/2022 19:34:30,Out of stock,0
24/11/2022 19:48:29,Out of stock,0
24/11/2022 20:28:18,Out of stock,0
24/11/2022 20:37:42,Out of stock,0
24/11/2022 20:48:29,Out of stock,0
24/11/2022 21:34:12,Out of stock,0
24/11/2022 22:10:35,Out of stock,0
24/11/2022 22:37:20,Out of stock,0
24/11/2022 23:39:47,,1
25/11/2022 00:56:53,Out of stock,0
25/11/2022 03:25:28,Out of stock,0
25/11/2022 03:48:42,Out of stock,0
25/11/2022 04:13:43,Out of stock,0
25/11/2022 04:34:51,Out of stock,0
25/11/2022 04:50:22,Out of stock,0
25/11/2022 05:10:30,Out of stock,0
25/11/2022 05:26:19,,1
25/11/2022 06:14:25,Out of stock,0
25/11/2022 06:35:30,Out of stock,0
25/11/2022 06:50:56,Out of stock,0
25/11/2022 07:10:03,Out of stock,0
25/11/2022 07:24:47,Out of stock,0
25/11/2022 07:34:17,Out of stock,0
25/11/2022 09:11:00,Out of stock,0
25/11/2022 09:37:09,Out of stock,0
25/11/2022 10:31:18,Out of stock,0
25/11/2022 10:48:42,Out of stock,0
25/11/2022 11:24:21,,1
25/11/2022 11:34:35,Out of stock,0
25/11/2022 11:48:27,Out of stock,0
25/11/2022 13:26:09,Out of stock,0
25/11/2022 13:48:43,Out of stock,0
25/11/2022 15:11:02,Out of stock,0
25/11/2022 15:28:40,Out of stock,0
25/11/2022 16:41:59,Out of stock,0
25/11/2022 17:10:24,Out of stock,0
25/11/2022 17:26:41,Out of stock,0
25/11/2022 17:36:09,Out of stock,0
25/11/2022 17:48:40,Out of stock,0
25/11/2022 18:14:23,Out of stock,0
25/11/2022 18:34:03,Out of stock,0
25/11/2022 19:09:03,Out of stock,0
25/11/2022 20:11:34,Out of stock,0
25/11/2022 20:28:36,Out of stock,0
25/11/2022 21:09:57,Out of stock,0
25/11/2022 21:25:00,Out of stock,0
25/11/2022 21:34:25,Out of stock,0
25/11/2022 22:10:14,Out of stock,0
25/11/2022 22:27:40,Out of stock,0
25/11/2022 22:38:05,Out of stock,0
26/11/2022 00:53:05,Out of stock,0
26/11/2022 02:21:19,Out of stock,0
26/11/2022 03:03:11,Out of stock,0
26/11/2022 03:33:04,Out of stock,0
26/11/2022 03:48:59,Out of stock,0
26/11/2022 04:13:07,,1
26/11/2022 04:34:22,Out of stock,0
26/11/2022 05:09:55,Out of stock,0
26/11/2022 05:25:52,Out of stock,0
26/11/2022 05:34:43,Out of stock,0
26/11/2022 06:13:27,Out of stock,0
26/11/2022 06:33:00,Out of stock,0
26/11/2022 06:49:06,Out of stock,0
26/11/2022 07:09:25,Out of stock,0
26/11/2022 07:23:53,,1
26/11/2022 07:34:24,Out of stock,0
26/11/2022 07:48:35,Out of stock,0
26/11/2022 08:13:35,Out of stock,0
26/11/2022 08:48:34,Out of stock,0
